school,exper,union,ethn,married,health,wage
15,2,no,other,yes,no,5.29
8,9,yes,hisp,no,no,4.89
12,3,no,other,no,no,5.17
11,3,no,hisp,no,no,4.12
11,5,yes,black,yes,no,4.08
13,3,no,other,no,no,6.81
12,2,no,other,no,no,6.81
15,2,no,other,no,no,1.74
15,1,no,other,no,no,NA
13,2,no,black,yes,no,5.11
13,4,yes,black,no,no,5.82
10,4,no,other,yes,no,3.54
12,2,NA,other,no,no,3.62
14,2,yes,other,no,no,7.08
12,2,yes,other,no,no,4.04
13,2,no,other,no,no,5.68
12,3,no,other,yes,no,2.4
15,2,no,other,no,no,7.49
9,2,no,other,no,no,2.36
11,2,no,other,no,no,3.43
15,2,no,other,yes,no,3.4
12,5,no,other,no,no,5.38
12,2,no,other,no,yes,4.3
10,2,no,other,no,no,1.3
11,4,no,black,no,no,6.16
12,5,yes,other,no,no,7.02
12,NA,yes,hisp,NA,no,1.75
13,2,no,other,yes,no,5.14
6,11,yes,hisp,no,no,5.45
12,3,yes,black,no,no,3.83
13,3,no,other,no,no,4.73
12,1,no,other,no,no,NA
9,6,yes,other,no,no,NA
14,2,no,other,yes,no,6.81
9,4,no,hisp,yes,no,0.41
12,3,yes,other,no,no,7.23
12,3,yes,other,no,no,8.51
12,2,yes,other,no,no,6.65
11,2,no,other,no,no,5.22
10,2,yes,other,no,no,3.03
10,7,no,hisp,no,no,2.52
14,3,NA,other,no,no,3.13
11,3,no,other,no,no,1.67
11,3,yes,black,yes,no,8.51
12,1,no,other,no,no,1.68
12,3,no,other,no,no,6.29
11,2,no,other,no,no,0.97
9,6,no,other,yes,no,4.68
11,3,no,black,no,no,4.25
11,2,no,black,no,no,2.54
11,2,no,hisp,no,no,3.45
12,4,no,other,yes,no,4.55
11,1,no,hisp,no,no,3.44
12,4,yes,other,no,no,5.65
12,3,no,other,no,no,2.65
12,3,no,NA,no,no,3.97
11,1,no,other,no,no,6.01
6,9,no,other,yes,no,6.39
12,5,no,black,no,no,2.02
14,3,no,other,no,no,4.18
11,1,yes,black,no,no,4.96
10,2,yes,other,no,no,2.71
11,2,no,other,no,no,3.29
12,5,no,other,no,no,4.13
15,2,yes,other,no,no,8.94
10,2,yes,other,no,no,5.19
12,3,yes,other,no,no,4.91
12,4,no,hisp,no,no,7.38
13,2,no,black,no,no,6.46
11,1,no,other,NA,no,3.51
11,4,no,hisp,yes,no,4.74
12,3,yes,other,no,NA,5.11
15,2,no,black,no,no,6.92
12,1,no,other,no,no,1.81
12,3,no,other,no,no,4.82
11,2,yes,other,no,no,NA
13,3,yes,other,no,no,9.36
12,5,NA,other,yes,no,7.11
14,1,no,other,no,no,2.83
10,2,no,other,no,no,2.81
14,1,no,other,no,no,5.35
13,2,no,other,no,no,6.38
10,6,yes,black,no,no,4.58
12,3,yes,other,no,no,6
12,2,NA,other,no,no,3.43
13,2,no,other,no,no,1.66
10,7,no,other,no,no,2.48
12,3,no,hisp,no,no,3.56
12,2,no,other,no,no,4.97
8,9,no,black,yes,no,5.26
12,4,no,other,no,no,5.24
13,4,no,other,no,no,1.4
12,4,no,other,no,no,7.13
13,4,no,other,no,no,7.66
